Date, RH_Min, RH_Value, RH_Status, Temp_Max, Temp_Value, Temp_Status
 2018-10-17 00:30:03.494776, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:32:03.405334, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:34:03.491672, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:36:03.396131, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:38:03.391708, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:40:03.480830, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:42:03.385009, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 00:44:03.447231, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 00:46:03.447553, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 00:48:03.511713, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 00:50:03.431295, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 00:52:03.517848, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 00:54:03.412979, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 00:56:03.451849, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 00:58:03.381374, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:00:03.447652, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:02:03.459229, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 01:04:03.360094, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:06:03.418109, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:08:03.429137, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 01:10:03.611487, 25, 80.4, Not Running, 105, 100.58, Not Running
 2018-10-17 01:12:03.402024, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 01:14:03.455622, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:16:03.393835, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:18:03.488112, 25, 53.1, Not Running, 105, 66.2, Not Running
 2018-10-17 01:20:03.388240, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:22:03.430369, 25, 53.0, Not Running, 105, 66.02, Not Running
 2018-10-17 01:24:03.441620, 25, 53.1, Not Running, 105, 66.2, Not Running
 2018-10-17 01:26:03.429235, 25, 53.1, Not Running, 105, 66.2, Not Running
 2018-10-17 01:28:03.491109, 25, 53.1, Not Running, 105, 66.02, Not Running
 2018-10-17 01:30:03.400887, 25, 53.0, Not Running, 105, 66.02, Not Running
 2018-10-17 01:32:03.387962, 25, 53.0, Not Running, 105, 66.02, Not Running
 2018-10-17 01:34:03.382820, 25, 53.0, Not Running, 105, 66.02, Not Running
 2018-10-17 01:36:03.379524, 25, 53.1, Not Running, 105, 66.2, Not Running
 2018-10-17 01:38:03.436824, 25, 53.1, Not Running, 105, 66.02, Not Running
 2018-10-17 01:40:03.514846, 25, 52.9, Not Running, 105, 65.84, Not Running
 2018-10-17 01:42:03.417195, 25, 53.0, Not Running, 105, 66.02, Not Running
 2018-10-17 01:44:03.404436, 25, 53.0, Not Running, 105, 66.02, Not Running
 2018-10-17 01:46:03.397602, 25, 53.1, Not Running, 105, 66.02, Not Running
 2018-10-17 01:48:03.401860, 25, 53.1, Not Running, 105, 66.02, Not Running
 2018-10-17 01:50:03.385358, 25, 53.1, Not Running, 105, 66.02, Not Running
 2018-10-17 01:52:03.388693, 25, 53.0, Not Running, 105, 66.02, Not Running
 2018-10-17 01:54:03.441030, 25, 53.0, Not Running, 105, 66.02, Not Running
 2018-10-17 01:56:03.456812, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 01:58:03.413819, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:00:03.441886, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:02:03.505065, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:04:03.415104, 25, 53.1, Not Running, 105, 65.84, Not Running
 2018-10-17 02:06:03.409509, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:08:03.482664, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:10:03.437601, 25, 53.1, Not Running, 105, 65.84, Not Running
 2018-10-17 02:12:03.521468, 25, 53.1, Not Running, 105, 65.84, Not Running
 2018-10-17 02:14:03.391907, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:16:03.445835, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:18:03.512260, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:20:03.447944, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:22:03.457117, 25, 53.0, Not Running, 105, 65.84, Not Running
 2018-10-17 02:24:03.430573, 25, 53.1, Not Running, 105, 65.84, Not Running
 2018-10-17 02:26:03.436201, 25, 53.1, Not Running, 105, 65.84, Not Running
 2018-10-17 02:28:03.453038, 25, 53.0, Not Running, 105, 65.66, Not Running
 2018-10-17 02:30:03.383165, 25, 53.1, Not Running, 105, 65.66, Not Running
 2018-10-17 02:32:03.416530, 25, 53.0, Not Running, 105, 65.66, Not Running
 2018-10-17 02:34:03.483036, 25, 53.1, Not Running, 105, 65.66, Not Running
 2018-10-17 02:36:03.381993, 25, 53.1, Not Running, 105, 65.66, Not Running
 2018-10-17 02:38:03.446048, 25, 53.1, Not Running, 105, 65.66, Not Running
 2018-10-17 02:40:03.520418, 25, 53.1, Not Running, 105, 65.66, Not Running
 2018-10-17 02:42:03.407476, 25, 53.1, Not Running, 105, 65.66, Not Running
 2018-10-17 02:44:03.449424, 25, 53.0, Not Running, 105, 65.66, Not Running
 2018-10-17 02:46:03.432736, 25, 53.0, Not Running, 105, 65.66, Not Running
 2018-10-17 02:48:03.459864, 25, 53.1, Not Running, 105, 65.66, Not Running
